Area,Course Name,Term,Programme,Professor,Rating,Credits,Course Description
ENTR,STARTUP LAB - THE TOGETHER MISSION,F2,MBA,Cherry Rose Tan,3,3,"This course offers a hands-on Work Integrated Learning opportunity for MBA students to learn startup and venture capital strategies, software/hardware product design and planning and mentor/mentee relationship frameworks.Students then apply those learnings by advising 20 + top Indian Student Startups through the Schulich 'Together Program' (in partnership with Startup India and the Government of India).1. Part I: Seven Class Sessions; 2. Part II: Work Integrated Learning Program with Startup India"
ENTR,ENTREPRENEURSHIP & NEW FIRM CREATION,F2,MBA,Dan Tzotzis,3,3,"Explores various dimensions of the creation of new ventures, including family enterprises. It is concerned with content and process questions as well as with formulation and implementation issues that relate to conceptualizing, developing and managing successful new ventures. The course examines the nature of entrepreneurs and what they do. It identifies the nature of opportunities and considers how new venture ideas can successfully be screened. The course provides the opportunity to develop a cohesive and affective business plan for a start-up venture. Prerequisites: All 5100-series Required Foundations of Management Core Courses."
ENTR,VENTURE CAPITAL AND PRIVATE EQUITY,F2,MBA,Stuart Browne,3,3,"This course is primarily geared to students interested in working in venture capital or other private equity organizations at some point in their careers. It is also valuable for those who intend to work alongside venture capitalists as managers of firms being financed by such investors and for students interested in applying aspects of private equity investing to established organizations. The course is divided into four modules focusing on the venture capital cycle including fundraising, investing, and exiting. In the final module the course explores new frontiers in venture capital including corporate venturing. Throughout the course we touch on career issues with respect to private equity. Prerequisite: all 5000-series Required Foundations of Management Core Courses."
FINE,MANAGERIAL FINANCE,F2,"MBA,MBAN",Yelena Larkin,5,3,"Provides an opportunity to learn about investment and financing decisions. The investment decisions involve asset valuation, capital budgeting, risk management, working capital management and performance assessment. The financing decisions include the choice of capital structure and financial instruments, the risk-return trade-off, financial planning and cost of capital. Ethical, environmental, and corporate governance considerations are integrated into investment and financing decisions."
FINE,PERSONAL FINANCIAL MANAGEMENT,F2,MBA,Murray McGuire,3,3,"Students learn the concepts and techniques of personal financial management in a thorough and rigorous finance framework. Topics include: goal setting, budgeting, financial intermediation, income tax, risk management, insurance, debt management, home valuation, investments, retirement planning, estate planning and strategic use of personal financial planning in financial institutions. Prerequisite: SB/FINE 5200 3.00."
FINE,FINANCIAL MANAGEMENT,F2,MBA,Supinder Babra,3,3,"This course focuses on key issues in corporate financial management. It covers working capital management, capital budgeting, capital structure decisions, dividend policy, mergers and acquisitions, leasing and the impact of inflation on financial decisions. Extensive use may be made of case studies. Prerequisite: SB/FINE 5200 3.00."
FINE,INVESTMENTS,F2,"MBA,FNEN",Sophia Johan,3,3,"The course begins with an overview of the investment environment in developed markets, followed by a more in-depth analysis of key investment topics. These topics include modern portfolio theory, asset pricing models, term structure of interest rates, stock and bond portfolio management, evaluation of portfolio performance, and behavioural finance. This course serves as a useful introduction to the Chartered Financial Analyst (CFA) curriculum. Prerequisite: SB/FINE 5200 3.00"
FINE,APPLICATIONS OF DATA SCIENCE IN FINANCE,F2,MFIN,Mark Kamstra,3,3,"The focus is on using modern programming to perform statistical analysis as used in finance. Applications include assessing properties of asset returns, testing asset pricing models, conducting event studies, understanding simulation methods and panel data analysis, and modelling volatility, value-at-risk, and time-varying correlations. Students will learn about empirical methods in finance by performing statistical analysis on financial data Corequisite: SB/FINE 6200 3.00."
FINE,CORPORATE FINANCIAL ANALYSIS,F2,MBA,Gregory Pau,5,3,"This course uses principles of economics, finance and accounting to examine problems in topics such as cash flow analysis, ratio analysis, strategic financial planning, interpretation of annual reports and prospectuses, economic modelling and business valuation. Students must deal with multi-faceted, ambiguous problems similar to real-world situations. The well-behaved data and simplifying assumptions used in theory courses are discarded in favour of the realistic, complex data in annual reports and other sources of financial information. Prerequisites: for MBA and IMBA students: SB/ACTG 5210 1.50, SB/FINE 5200 3.00, and SB/OMIS 5120 1.50 or equivalent; for MF students: SB/MFIN 5200 3.00. Corequisites: One of SB/FINE 6100 3.00, SB/FINE 6200 3.00, SB/ACTG 6120 3.00 or SB/FNEN 6210 3.00. Course credit exclusion: SB/ACTG 6250 3.00 (either SB/FINE 6600 3.00 or SB/ACTG 6250 3.00, but not both, may be taken for credit)."
FINE,MANAGEMENT OF RISK IN FINANCIAL INSTITUTIONS,F2,"MBA,MBAN",Lois Tullo,5,3,"Risk is the fundamental element that influences the behaviour of financial institutions. FINE 6720 provides a comprehensive introduction to risk management. Presented within the framework of financial institutions, the course covers the design and operation of a risk-management system, modeling and the interplay between internal oversight and external regulation. The theory of risk management (market, credit and operational risk) comes alive through practical case evaluation and presentations from the senior executives in the risk management field. The course provides the essential analytical foundations of risk management in a way appropriate for those who do not have a mathematical background. Prerequisite: SB/FINE 5200 3.00"
MBAN,PREDICTIVE MODELLING,F2,"MBAN,MMAI",Isik Bicer,3,3,"This course provides the tools needed to build models from data sets, validate models, and make predictions. The course emphasises the SAS environment. Major areas for discussion include analysis of variance, regression, categorical data analysis, and predictive modelling. The course emphasizes both theory and practice, allowing students to use statistical theory for purposes of business case analysis."
MBAN,VISUAL ANALYTICS & MODELLING,F2,"MBA,MBAN",David Elsner,4,3,"This course is an introduction to the fundamental theories of visual communication design applied in data visualization and visual analytics. Students become familiar with data-driven decision making workflows and storytelling best practices. Major areas for discussion include visual design principals, data structures, taxonomy of data visualization models and weekly technical tutorials using the Tableau software."
MBAN,DATA SCIENCE II,F2,MBAN,Delina Ivanova,5,3,"This course is designed for business students who will pursue a career in the related industries. The course first teaches students Unix command line and Python programming language, which constitute the uniform computing environment for the following topics: data visualization; predictive modelling; relational database and SQL; Web APIs; big data, Hadoop and MapReduce; and Stochastic Search and Optimization methods. Towards the end of the course, various business cases from data science are introduced; examples may include: (i) online recommender systems; and (ii) Online targeted display advertising. Through in-class labs, the course gives students hands-on experience of advanced data science techniques. Students are required to bring own laptop to participate these inclass labs. Prerequisite: MBAN student, SB/MBAN 6110 3.00"
MBAN,REALIZING VALUE FROM AI AND ANALYTICS IN ORGANIZATIONS,F2,MBA,David Markwell,5,3,"This course provides a practical grounding in analytics and artificial intelligence (AI) and its business applications in organizations. Students will learn how to address business pain points through AI and analytics solutions and how to sell and deliver project ideas. Students will gain skills needed to transform an organization into an innovative, efficient and data driven company of the future."
MBAN,ANALYTICS CONSULTING PROJECT,F2,MBAN,David Elsner,5,6,"The Analytics Consulting Project is the capstone integrative course of the MBAN program. It will allow students to deepen their understanding of the subject matter and methodologies, as well as provide an opportunity for hands-­?on, problem-­?driven research and application. It is an intensive, 8 month project where groups of 4 MBAN students undertake a comprehensive analytics project of an organization (""client site"") and provide business insights to enhance the site's future success. At the conclusion of the analytics consulting project students submit and present their final work to a panel of at least two experts, including the course director, and also to the client site."
MKTG,MARKETING MANAGEMENT,F2,"MBA,MMKG",Ashley Konson,5,3,"This course familiarizes students with the major marketing concepts (buyer behaviour, segmentation, targeting, positioning, product/service development and management, pricing, distribution, communication). It applies these concepts to profit, not-for-profit, new, mature, service, product-based, domestic and international organizations. It develops specific skills such as problem-solving, verbal presentation, business writing and group work.Marketing ethics and sustainability issues are integrated into the course."
MKTG,THE FUTURE OF MARKETING,F2,MBA,Paul Tedesco,4,3,"This course develops students' abilities to reimagine and develop new conceptual frameworks, methodologies, and technologies for future of marketing strategies. Students learn how to communicate novel marketing concepts to management. The course teaches students how to research, create, implement and evaluate innovative marketing plans for nascent digital technologies. Students learn to think and write critically about consumer privacy and ethics."
MKTG,SERVICE MARKETING,F2,"MBA,MBAN,MMKG",Joe Fayt,5,3,"Examines the need for marketing in service industries, develops an understanding of the ways in which service marketing differs from product marketing, and improves students' understanding of how service characteristics affect the marketing function. Students learn to develop and implement marketing plans for service organizations. Prerequisite: SB/MKTG 5200 3.00."
MKTG,INTERNATIONAL MARKETING,F2,"MBA,MMKG",Yigang Pan,3,3,"This course satisfies two interrelated objectives: to improve the student's marketing decision-making ability through the solution of complex multinational marketing problems; and to increase the student's sensitivity to different cultural, socio-economic and legal environments encountered in the international marketplace. The course uses readings, cases and a group project. Prerequisite: SB/MKTG 5200 3.00"
MMAI,BUSINESS APPLICATIONS OF AI I,F2,MMAI,Hemant Sangwan,5,3,"This course focuses on understanding the opportunities that artificial intelligence offers an organization to improve value creation. Students learn skills to develop, analyse and integrate artificial intelligent into business decision-making. Using case studies and hands-on in-class exercises students will be able to use machine learning to analyse text and social networks using Python and R. Prerequisite: SB/MMAI 5000 3.00"
MMAI,NATURAL LANGUAGE PROCESSING,F2,MMAI,Hjalmar Turesson,5,3,"This course focuses on the principles and technologies of statistical machine- learning-based natural language processing and their application in text analytics, including retrieval, extraction, recognition, and analysis of information from large textual collections. Prerequisites: SB/MMAI 5040 3.00 & SB/MMAI 5300 3.00"
MMAI,APPLICATIONS OF DEEP LEARNING IN BUSINESS,F2,MMAI,Hjalmar Turesson,5,3,"Deep learning systems, embodied by a variety of neural network models, are used increasingly in modern business applications. Students will learn about the basics of neural network and deep learning, and their applications to a range of business issues. By the end of the course, students will have sufficient domain knowledge to address practical business problems."
MMAI,AI CONSULTING PROJECT,F2,MMAI,David Elsner,5,6,"The AI Consulting Project is an intensive, 2-term course where groups of 4 students undertake a comprehensive artificial intelligence (AI) project of an organization and provide business insights to enhance the sites success. At the conclusion of the project students present their work to a panel of at least two experts, including the course director, and to the client site."
OMIS,EMERGING TECHNOLOGIES,F2,MBAT,Henry Kim,4,3,This course will train aspiring technology managers and entrepreneurs to think systematically about the interplay between emerging technologies and the business landscape. Students will learn management-level implications of AI and blockchain as well as autonomous mobility and 3D printing. The course culminates with use case pitch competition.
OMIS,INFORMATION SYSTEMS,F2,MBA,Divinus Oppong-Tawiah,5,1.5,"The aim of this course is to create an understanding of key management issues with respect to the use of computer and information systems in modern business applications. Core technologies of hardware, software, databases, telecommunications, internet and the web, IT security, as well as emerging technologies such as AI and blockchain will be explored from a management perspective. As well as exploring technological, economic and organizational facets, important equity, environment, and social justice issues like gender and racial bias in AI, digital exclusion, e-waste, and carbon reporting are also examined."
OMIS,QUANTITATIVE METHODS,F2,MBA,Michael Rochon,3,1.5,"An introduction to the use of quantitative methods for business research, analysis, forecasting and decision making. The aim is to convey not only an understanding of methods, but also to give an appreciation of their use in addressing actual business problems impacting society, and to acquaint students with computer software necessary for implementing these methods. Problems revolving around economic, social, human, and environmental sustainability will be highlighted throughout the course, including ethical considerations around the collection, interpretation and use of statistical information."
OMIS,OPERATIONS MANAGEMENT,F2,MBA,Laurie Turnbull,5,1.5,"Operations management in both manufacturing and service organizations involves the coordination of complex and dynamic systems of people, technology and materials to achieve competitive objectives. The impact of alternative strategies for delivering quality products in a cost-effective manner is examined. This includes currently popular inventory management philosophies such as `Total Quality Management' and `Just-In-Time' inventory management. Ethical considerations relating to the development of socio-technical systems and environmental implications of TQM will be highlighted."
OMIS,SUSTAINABLE SUPPLY CHAIN STRATEGIES,F2,MSCM,Ashay Gude,4,3,"Strategies for managing the flow of product, money and information to achieve an effective supply chain strategy leading to a sustainable organization are examined in this course. Choices deploying resources in sourcing, logistics, demand management and manufacturing and servicing will be placed in the context of the needs of the overall organization to be resilient and grow and prosper responsibly. Prerequisites: SB/ACTG 5200 3.00 and SB/MSTM 5060 3.00 Exclusive to students enrolled in the MSCM program"
OMIS,TRANSPORTATION & LOGISTICS MANAGEMENT,F2,MSCM,Natalie Kotikova,3,3,"This course examines the role of transportation in a logistical network and the necessary investment in transportation processes and infrastructure to control costs, manage risk and improve customer service. Benefit and cost analysis is done on alternative modes and strategies for securing on-time delivery. We introduce concepts, techniques and technology for improved routing, cost reduction and supply chain asset utilization. Prerequisites: SB/ACTG 5200 3.00 and SB/MSTM 5060 3.00."
OMIS,SUPPLY RELATIONSHIP MANAGEMENT,F2,MSCM,Laurie Turnbull,3,3,"Supply Chain managers must find the best suppliers and work effectively with them. In this course, we identify a purchasing organization's critical supply needs and risks. We examine ethical and sustainable practices for identifying and selecting competent suppliers as well as negotiating and problem solving in the formulation of inter-organizational agreements. Prerequisite: SB/ACTG 5200 3.00"
OMIS,COORDINATING DEMAND & SUPPLY,F2,MSCM,Adam Diamant,5,3,"This course introduces students to quantitative models for demand forecasting, aggregate planning, inventory control, and revenue management. The focus is on developing a basic understanding of how organizations in multi-echelon supply chains make data-driven decisions using sophisticated computational techniques. Topics include time series, machine learning, and mathematical optimization with applications to logistics, manufacturing, inventory coordination, contracting, customer segmentation, and pricing. Prerequisite: SB/MSTM 5060 3.00"
OMIS,ADVANCED SPREADSHEET MODELLING & PROGRAMMING FOR BUSINESS,F2,"MBA,MBAN",Guangrui Li,4,3,"This course enables the design, development, and implementation of integrated business analysis systems by combining the extended functionality of spreadsheets with the Visual Basic for Applications (VBA) programming language. The course demonstrates the power of combining the advanced analysis and modelling techniques of spreadsheets and VBA through applications to several practical problems from disparate business functions. Prerequisites: SB/OMIS 5110 1.50 and SB/OMIS 5120 1.50 or permission of the Instructor."
OMIS,SUPPLY CHAIN MANAGEMENT,F2,"MBA,MBAN",Laurie Turnbull,4,3,"This course is about how to make decisions that lead to the better design and management of supply chains. This often involves changing the network of relationships between suppliers and customers and other stakeholders as they design, contract, order, plan and coordinate goods and services together. This course covers essential quantitative supply chain management models, supportive information and ecommerce technologies, environmentally and socially responsible practices and customer-supplier relationship management. Prerequisites: SB/OMIS 5110 1.50, SB/OMIS 5120 1.50, SB/OMIS 5210 1.50."
OMIS,DESIGN THINKING,F2,"MBA,DT core",Moshe Mikanovsky,3,3,"This course trains managers who participate in solving difficult business problems (e.g. IT transformations) how to modify their perspective on problem solving to innovate in organizations. Using design thinking, managers learn how to engage with their peers and users using a hands-on, step-by-step process. They learn how to contextualize problems, brainstorm, prototype and test technical solutions that achieve real-world validation."
OMIS,PROJECT MANAGEMENT,F2,MBA,David Elsner,5,3,"This course covers the strategic, organizational and operational aspects of managing projects. Students learn to manage the technical, behavioral, political and cultural aspects of temporary groups performing unique tasks. Topics covered include: defining deliverables, formulating project strategy, effective group organization, and management, dynamically allocating resources, managing without authority and resolving conflict. Traditional cost and time management techniques are covered using Microsoft Office and open-source, free project management software. Course Credit Exclusion: SB/MGMT 6700 3.00"
OMIS,EMPOWERING BUSINESS GROWTH - EXPLORING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,F2,"MBA,MBAT,MFIN,MACC,MMgt,MMKG,MREI,GDAA,GDAN,GDIA,MHIA",Murat Kristal,4,3,"This comprehensive course offers a deep dive into the dynamic field of Artificial Intelligence (AI) and Machine Learning (ML), focusing on their applications in the business world. Led by a diverse team of experts, the course is designed to equip participants with a thorough understanding of AI fundamentals, machine learning basics, and the transformative impact of generative language models on business strategies. The course not only focuses the mechanics and applications of AI and ML in the business world, but also dives deeper into topics such as data privacy and the impact of regulations around data, ethical use of data in AI models. We finalize the course with a capstone project in which the students will be able to app Through a series of modules, guest lectures, and practical applications, students will explore advanced machine learning techniques, the power of mining data, and the strategic implications of AI in leadership and organizational development."
ORGS,ORGANIZATIONAL BEHAVIOUR,F2,"MBA, MMgt",Thomas Medcof,4,3,"The purpose of this course is to create a knowledge base from which students can develop organizational competence. It examines the relationships between organizational performance and the behaviour of individuals, groups, and overall organizations. In the process, emphasis is given to the importance of interpersonal issues and to issues arising from technological change, workforce diversity, ethical challenges, and internationalization. Consideration is also given to issues pertaining to the natural environment such as sustainability and ESG."
ORGS,MANAGING CHANGE,F2,"MBA,MBAN",Gary Miller,4,3,"As the environment of many business and non-profit organizations becomes increasingly complex and unstable, it is imperative that top managers be able to create a climate of flexibility and adaptability in their operations. Organizations must be able to undertake major change without destructive side effects to be truly successful. This course surveys the major methods available to the modern manager for effectively managing the process of change and creating a general climate in which needed changes are sought and welcomed throughout the organization. The course emphasizes case studies and the discussion of alternative change management models. Prerequisite: SB/ORGS 5100 3.00"
ORGS,NEGOTIATIONS,F2,"MBA,MBAN",Haniyeh Yousofpourfard,4,3,"Provides students with insight into their own negotiation style and how to become a more effective negotiator. The course takes an experiential approach to exploring the concepts, theories, and psychology of negotiations. Students will gain knowledge of the different approaches to negotiations and the strategies and tactics unique to each. The course will provide students with opportunity to learn, practice, and refine negotiation skills as well as equip them with the skills necessary to negotiate constructive resolution to conflict in the workplace. Prerequisite: SB/ORGS 5100 3.00"
ORGS,DIVERSITY AND INCLUSION IN ORGANIZATIONS,F2,MBA,Carlene Alexander,4,3,"This course examines diversity (broadly defined to include culture, gender, race, sexual orientation, ability, etc.,), the individual experience of diversity, and how organizations leverage opportunities of diversity and also navigate challenges that diversity can bring if mismanaged. Prerequisite: SB/ORGS 5100 3.0"
ACTG,FINANCIAL ACCOUNTING FOR MANAGERS,W2,MBA,Linda Thorne,4,3,"This course examines the assumptions and decision usefulness of financial statements that are prepared for creditors and shareholders. Emphasis is placed on interpretation of financial statements, using examples from several companies. Issues including sustainability and ethics are incorporated in class discussions and cases."
ACTG,FINANCIAL REPORTING AND CONTROL,W2,MBAT,Supinder Babra,3,3,"This course is designed to provide students with an understanding of financial reporting, earnings quality, operating risk and management control issues in technology firms. Concepts will include preparing financial statements, measures of earnings quality, operational risk, break-even analysis, pricing decisions, operating budgets and budgeted financial statements. In arriving at managerial decisions, all stakeholder interests are considered, including DEI and socially responsible decision making around key issues."
ACTG,MANAGEMENT ACCOUNTING,W2,"MBA,MBAN",Sandy Qu,4,1.5,"This course provides an introduction to management accounting techniques that are useful in management decision making situations such as cost management, pricing special orders, determining service levels and performance appraisal. The non-applicability of external reporting figures for most management decisions is reviewed. In arriving at managerial decisions, all stakeholder interests are considered, including socially responsible decision making around key issues. Prerequisite: SB/ACTG 5100 3.00"
ACTG,INTERMEDIATE FINANCIAL ACCOUNTING II,W2,MBA,Richa Khanna,4,3,"This is an extension of SB/ACTG 6120 3.00 with emphasis on the liability of equity accounts. Major topics include: tax allocation, pensions, leases, capital transactions and financial statement analysis. Prerequisite: SB/ACTG 6120 3.00."
ACTG,ADVANCED FINANCIAL ACCOUNTING,W2,MACC,Marisa Morriello,5,3,"The final course in the three-course financial accounting core, this course emphasizes accounting for international activities and intercorporate investments. The application of accounting principles to case situations in specialized industries and non-profit organizations is also considered. Prerequisites: SB/ACTG 6120 3.00 & SB/ACTG 6140 3.00. Note: Not available to exchange students visiting Schulich."
ACTG,FINANCIAL REPORTING AND ANALYSIS,W2,MBA,Supinder Babra,3,3,"Examines why stock prices react when firms announce their earnings, and why certain trends in industry earnings affect stock prices of many firms in that industry. Under highly stylised Generally Accepted Accounting Principles (GAAP), abnormal accounting earnings of a firm can be discounted to derive an estimate of the share price. This course therefore offers a direct link between accounting policy choices, abnormal earnings (based on adjusted reported earnings) and stock price valuation. Prerequisite: SB/ACTG 5100 3.00. Prerequisite: SB/ACTG 5101 3.00 (previously offered as SB/MACC 5101 3.00) for students pursuing the Schulich Diploma in Intermediate Accounting (DIAC). Course Credit Exclusion: SB/FINE 6600 3.00 (either SB/ACTG 6250 3.00 or SB/FINE 6600 3.00, but not both, may be taken for credit)."
ACTG,INTEGRATIVE CASE ANALYSIS FOR ACCOUNTANTS,W2,MACC,Marisa Morriello,5,3,"This is the second of six case courses for the MAcc Program This course requires students to integrate knowledge obtained in the courses taken throughout the program and apply that knowledge to cases that incorporate all of the competency areas, including financial reporting, strategy and governance, assurance, finance, management accounting, and taxation. Prerequisite: SB/ACTG 6201 1.50 (previously offered as SB/MACC 6201 1.50) NOTE: Open only to MACC students and MBA students pursuing the CPA designation"
ACTG,ADVANCED AUDITING,W2,MACC,Alla Volodina,3,3,"This course extends students' knowledge in the area of auditing by examining the role of the profession in society today, evaluating current issues facing auditors, and building on their understanding of the general audit framework and its fundamental theories. It also examines specific audit topics such as legal liability, comprehensive auditing, fraud, audit of not-for-profit organizations, environmental auditing and small business audits. Prerequisite: SB/ACTG 6600 3.00."
ARTM,TRANSFORMATION IN MEDIA AND CULTURE,W2,MBA,Trina McQueen,5,3,"This course will explore the interplay between business, management, politics, and technology within the evolving creative industries globally. It will analyze the influence of emerging ideas, audiences, technologies, and regulations on the creation, funding, distribution, consumption, control, and suppression of media, entertainment, and cultural products, while also assessing their effects on traditional cultural forms."
ARTM,BUSINESS SOLUTIONS FOR DIGITAL MEDIA,W2,MBA,Trina McQueen,3,3,"The rapidly changing global digital media economy is creating new business models for the Arts, Media and Entertainment sector. This course examines how such models draw on management, creative and policy resources in radically different ways. Students will acquire knowledge and insights to manage digital media's needs for creativity, entrepreneurship, measurement, financial structures and monetization in large and small organizations."
ECON,THE ECONOMIC ENVIRONMENT OF BUSINESS,W2,MBA,Fred Lazar,3,3,"This course provides managers with an overview of the economic environment within which business must operate, and an understanding of some of the analytical tools which economists use to solve business, economic, environmental and social problems. Key concepts and ideas from microeconomics, macroeconomics, environmental and international economics are introduced. Topics relevant to real-world issues and problems are discussed."
ENTR,ENTREPRENEURSHIP & NEW FIRM CREATION,W2,MBA,Yuval Deutsch,4,3,"Explores various dimensions of the creation of new ventures, including family enterprises. It is concerned with content and process questions as well as with formulation and implementation issues that relate to conceptualizing, developing and managing successful new ventures. The course examines the nature of entrepreneurs and what they do. It identifies the nature of opportunities and considers how new venture ideas can successfully be screened. The course provides the opportunity to develop a cohesive and affective business plan for a start-up venture. Prerequisites: All 5100-series Required Foundations of Management Core Courses."
ENTR,VENTURE CAPITAL AND PRIVATE EQUITY,W2,MFIN,Gregory Milavsky,5,3,"This course is primarily geared to students interested in working in venture capital or other private equity organizations at some point in their careers. It is also valuable for those who intend to work alongside venture capitalists as managers of firms being financed by such investors and for students interested in applying aspects of private equity investing to established organizations. The course is divided into four modules focusing on the venture capital cycle including fundraising, investing, and exiting. In the final module the course explores new frontiers in venture capital including corporate venturing. Throughout the course we touch on career issues with respect to private equity. Prerequisite: all 5000-series Required Foundations of Management Core Courses."
